TaskID,EmployeeNumber,TaskType,RequestDate,ResolvedDate,SLA_Hours,Actual_Hours,Status,Priority
T417134,1794,Onboarding,2024-10-15,2024-10-18,72,78,In Progress,Low
T132742,1289,Onboarding,2024-09-09,2024-09-10,24,36,In Progress,Low
T522707,1207,Exit Interview,2024-01-15,2024-01-18,72,91,In Progress,Medium
T879613,177,Exit Interview,2024-09-20,2024-09-22,48,50,In Progress,High
T250723,1842,Onboarding,2024-04-22,2024-04-24,48,60,Escalated,Low
T360800,1747,Onboarding,2024-12-25,2024-12-26,24,24,In Progress,Medium
T981707,566,Exit Interview,2024-01-12,2024-01-15,72,84,In Progress,Low
T610210,470,Onboarding,2024-11-10,2024-11-13,72,72,Escalated,Low
T219824,1778,Exit Interview,2024-11-17,2024-11-18,24,41,In Progress,Low
T599887,1352,Onboarding,2024-08-11,2024-08-12,48,38,In Progress,High
T747505,847,Leave Request,2024-01-12,2024-01-14,72,69,Completed,Medium
T126837,1338,Leave Request,2024-02-15,2024-02-17,48,60,In Progress,Low
T308133,566,Policy Query,2024-06-22,2024-06-25,72,78,In Progress,Low
T581081,1164,Leave Request,2024-12-26,2024-12-27,24,34,In Progress,High
T620042,321,Onboarding,2024-02-03,2024-02-05,48,57,In Progress,Low
T327869,1467,Onboarding,2024-09-14,2024-09-17,72,81,In Progress,High
T325904,1683,Policy Query,2024-04-11,2024-04-12,24,44,In Progress,High
T309622,1714,Policy Query,2024-07-18,2024-07-18,24,23,Completed,Low
T318671,1207,Exit Interview,2024-01-08,2024-01-09,48,46,In Progress,Low
T861903,644,Leave Request,2024-06-23,2024-06-26,72,80,In Progress,Low
T385478,148,Onboarding,2024-07-05,2024-07-06,48,43,Completed,Medium
T115606,665,Onboarding,2024-02-27,2024-02-28,24,44,In Progress,Low
T251070,608,Leave Request,2024-07-25,2024-07-27,48,55,Escalated,Medium
T664589,1152,Policy Query,2024-07-04,2024-07-06,48,56,In Progress,Medium
T794619,734,Policy Query,2024-06-10,2024-06-13,72,83,In Progress,Low
T888998,1461,Policy Query,2024-10-14,2024-10-16,48,59,In Progress,High
T561434,608,Leave Request,2024-11-26,2024-11-27,48,42,In Progress,Low
T501187,1625,Leave Request,2024-09-15,2024-09-16,24,32,In Progress,Low
T631087,1467,Policy Query,2024-05-05,2024-05-08,72,89,In Progress,High
T895099,847,Exit Interview,2024-08-16,2024-08-16,24,14,Completed,Low
T704496,1778,Policy Query,2024-10-06,2024-10-08,48,68,In Progress,Low
T117971,734,Leave Request,2024-02-19,2024-02-20,24,28,In Progress,Low
T860538,1794,Onboarding,2024-12-24,2024-12-24,24,22,Escalated,Medium
T311002,1461,Policy Query,2024-11-12,2024-11-12,24,20,In Progress,Low
T501007,1563,Policy Query,2024-05-22,2024-05-25,72,84,Escalated,Low
T537748,424,Exit Interview,2024-06-16,2024-06-17,24,41,Completed,Medium
T208891,734,Leave Request,2024-02-07,2024-02-08,24,43,Escalated,High
T331342,1098,Onboarding,2024-04-12,2024-04-13,48,42,In Progress,High
T918888,1747,Policy Query,2024-03-25,2024-03-27,48,61,Completed,Low
T601982,1944,Policy Query,2024-09-25,2024-09-27,72,64,Escalated,Low
T198542,1419,Exit Interview,2024-12-12,2024-12-14,72,63,In Progress,Low
T937416,1625,Policy Query,2024-03-10,2024-03-12,72,68,Escalated,Low
T795675,1550,Exit Interview,2024-05-19,2024-05-21,48,61,Completed,Low
T170236,177,Policy Query,2024-04-23,2024-04-26,72,76,Escalated,High
T427701,1207,Policy Query,2024-09-12,2024-09-15,72,75,Escalated,Medium
T393722,1207,Onboarding,2024-02-17,2024-02-19,72,65,In Progress,Low
T569479,665,Policy Query,2024-12-28,2024-12-30,48,52,In Progress,Low
T837698,590,Onboarding,2024-04-07,2024-04-10,72,87,Escalated,High
T568865,1467,Onboarding,2024-09-01,2024-09-03,48,68,In Progress,Medium
T192804,1408,Onboarding,2024-04-07,2024-04-09,48,55,Escalated,High
T532901,1419,Policy Query,2024-11-01,2024-11-04,72,90,Escalated,Low
T913467,1844,Onboarding,2024-06-18,2024-06-18,24,17,Escalated,Medium
T176405,1408,Onboarding,2024-02-10,2024-02-10,24,15,In Progress,Low
T111839,1778,Exit Interview,2024-11-02,2024-11-04,48,52,In Progress,Medium
T487846,1289,Exit Interview,2024-07-24,2024-07-27,72,89,In Progress,Low
T346678,140,Onboarding,2024-02-19,2024-02-20,24,37,In Progress,Medium
T386096,1972,Leave Request,2024-05-09,2024-05-12,72,76,In Progress,Low
T591323,1625,Leave Request,2024-03-05,2024-03-06,24,35,In Progress,High
T947323,1778,Onboarding,2024-12-22,2024-12-24,48,58,Escalated,Low
T103687,909,Leave Request,2024-05-11,2024-05-14,72,84,In Progress,Medium
T495736,1550,Exit Interview,2024-04-18,2024-04-19,24,41,Completed,High
T413418,1744,Leave Request,2024-02-25,2024-02-27,48,57,Escalated,Medium
T847106,1714,Policy Query,2024-12-25,2024-12-27,72,66,Escalated,High
T280961,698,Exit Interview,2024-11-20,2024-11-22,48,68,Completed,High
T958430,1563,Onboarding,2024-02-28,2024-03-01,48,63,In Progress,High
T866507,1499,Onboarding,2024-01-21,2024-01-23,48,53,In Progress,Medium
T207842,148,Policy Query,2024-07-04,2024-07-06,48,53,In Progress,Low
T792930,1844,Leave Request,2024-02-05,2024-02-06,24,32,Escalated,Low
T753101,1722,Exit Interview,2024-10-11,2024-10-14,72,73,In Progress,Low
T416956,1805,Policy Query,2024-03-19,2024-03-20,24,41,In Progress,High
T353463,1642,Onboarding,2024-10-08,2024-10-11,72,79,In Progress,Low
T104640,1207,Leave Request,2024-05-07,2024-05-09,72,67,In Progress,Low
T699332,140,Exit Interview,2024-01-07,2024-01-08,48,47,Escalated,Medium
T459977,1419,Exit Interview,2024-09-04,2024-09-07,72,73,In Progress,High
T905980,1744,Onboarding,2024-11-09,2024-11-11,48,67,In Progress,Medium
T401175,1314,Leave Request,2024-07-27,2024-07-28,24,30,Completed,High
T705969,1164,Policy Query,2024-09-11,2024-09-11,24,16,In Progress,Low
T796236,1467,Policy Query,2024-12-13,2024-12-15,48,64,In Progress,Low
T831768,1467,Policy Query,2024-01-27,2024-01-28,24,35,In Progress,Low
T557522,1805,Onboarding,2024-11-28,2024-11-30,72,67,In Progress,Medium
T937685,1338,Exit Interview,2024-08-14,2024-08-16,72,71,In Progress,Low
T617435,424,Exit Interview,2024-09-07,2024-09-09,48,51,In Progress,Low
T859320,1746,Leave Request,2024-05-18,2024-05-19,24,32,In Progress,Medium
T527223,1338,Onboarding,2024-09-22,2024-09-22,24,18,In Progress,Low
T296372,1289,Exit Interview,2024-10-14,2024-10-15,24,33,Completed,Low
T845116,1944,Exit Interview,2024-02-15,2024-02-18,72,80,Completed,Medium
T537912,184,Exit Interview,2024-10-18,2024-10-20,48,66,Completed,Low
T228338,1973,Exit Interview,2024-02-22,2024-02-24,48,60,Escalated,High
T779153,1207,Exit Interview,2024-10-12,2024-10-14,48,62,Completed,Low
T914966,590,Exit Interview,2024-04-18,2024-04-20,72,63,Escalated,Low
T436854,103,Policy Query,2024-09-01,2024-09-02,24,24,In Progress,Medium
T955300,1747,Exit Interview,2024-07-09,2024-07-12,72,87,In Progress,Medium
T932456,869,Policy Query,2024-09-06,2024-09-08,48,66,In Progress,Low
T970123,1973,Onboarding,2024-10-23,2024-10-25,48,67,Completed,Low
T478001,1805,Onboarding,2024-02-17,2024-02-19,48,62,In Progress,Medium
T389752,829,Leave Request,2024-06-03,2024-06-04,48,43,In Progress,Medium
T114060,1794,Leave Request,2024-03-14,2024-03-16,48,48,Completed,High
T969793,1842,Onboarding,2024-06-06,2024-06-07,24,43,Completed,High
T260214,878,Leave Request,2024-08-27,2024-08-28,24,38,Completed,Low
T282875,1098,Policy Query,2024-02-18,2024-02-21,72,75,Escalated,Low
T982822,470,Exit Interview,2024-09-23,2024-09-26,72,86,Completed,Low
T126939,909,Policy Query,2024-08-08,2024-08-10,72,62,Completed,Low
T242792,1419,Policy Query,2024-10-20,2024-10-23,72,83,In Progress,Medium
T902635,1744,Exit Interview,2024-01-22,2024-01-25,72,74,In Progress,Low
T624352,644,Leave Request,2024-09-22,2024-09-24,48,48,In Progress,High
T340716,1207,Exit Interview,2024-10-14,2024-10-14,24,21,In Progress,High
T840369,148,Exit Interview,2024-11-11,2024-11-13,72,65,In Progress,High
T842895,1890,Onboarding,2024-06-17,2024-06-19,48,58,Escalated,Medium
T119176,1744,Policy Query,2024-01-02,2024-01-03,24,44,In Progress,Medium
T296646,1805,Policy Query,2024-01-13,2024-01-16,72,73,In Progress,Low
T255072,177,Leave Request,2024-02-18,2024-02-19,48,38,In Progress,Low
T735284,470,Policy Query,2024-12-07,2024-12-09,72,69,Completed,Medium
T253119,148,Exit Interview,2024-01-14,2024-01-15,24,29,In Progress,Medium
T761598,1408,Leave Request,2024-07-10,2024-07-12,48,66,In Progress,Low
T573771,1818,Policy Query,2024-07-09,2024-07-12,72,76,In Progress,Low
T894025,140,Exit Interview,2024-09-06,2024-09-06,24,23,Escalated,Low
T784529,184,Onboarding,2024-12-07,2024-12-07,24,21,In Progress,Medium
T220395,608,Exit Interview,2024-10-20,2024-10-22,72,68,In Progress,Low
T997777,1098,Leave Request,2024-10-14,2024-10-15,48,41,In Progress,Medium
T992609,1842,Leave Request,2024-06-22,2024-06-24,72,67,In Progress,High
T586784,1778,Policy Query,2024-12-28,2024-12-31,72,72,Escalated,Low
T139876,1746,Exit Interview,2024-12-22,2024-12-25,72,87,In Progress,Low
T606090,1746,Policy Query,2024-04-11,2024-04-11,24,16,In Progress,Low
T318475,760,Policy Query,2024-07-22,2024-07-24,72,71,Escalated,Low
T242878,910,Onboarding,2024-02-20,2024-02-21,24,32,In Progress,Medium
T298545,608,Policy Query,2024-02-13,2024-02-15,48,62,In Progress,Low
T767119,1098,Exit Interview,2024-11-11,2024-11-12,48,40,In Progress,Low
T686954,1152,Exit Interview,2024-06-13,2024-06-14,24,44,In Progress,Low
T748679,665,Leave Request,2024-04-04,2024-04-07,72,88,Escalated,Low
T300906,1818,Onboarding,2024-08-04,2024-08-06,72,65,Escalated,Medium
T423826,1778,Onboarding,2024-06-18,2024-06-20,72,64,In Progress,Low
T845570,1746,Policy Query,2024-02-18,2024-02-21,72,81,In Progress,Low
T935245,1625,Leave Request,2024-11-08,2024-11-11,72,91,Completed,Low
T669672,1844,Policy Query,2024-07-15,2024-07-18,72,89,Completed,Low
T216511,1746,Policy Query,2024-06-06,2024-06-08,72,62,In Progress,Low
T970731,1746,Leave Request,2024-02-19,2024-02-21,72,64,In Progress,Low
T500457,1987,Leave Request,2024-01-25,2024-01-27,48,59,Completed,High
T715600,1408,Leave Request,2024-12-27,2024-12-27,24,15,Completed,Medium
T562229,1842,Onboarding,2024-10-22,2024-10-25,72,75,Completed,Low
T530808,1844,Exit Interview,2024-12-07,2024-12-08,24,37,Completed,Low
T223241,731,Policy Query,2024-07-26,2024-07-28,48,64,Completed,Low
T489377,1972,Onboarding,2024-12-21,2024-12-24,72,74,Escalated,High
T179850,1794,Exit Interview,2024-10-22,2024-10-24,72,63,Escalated,Low
T179457,1231,Leave Request,2024-08-12,2024-08-15,72,75,In Progress,Low
T278149,2040,Exit Interview,2024-06-24,2024-06-26,72,63,Completed,High
T722007,1231,Onboarding,2024-01-10,2024-01-11,24,37,In Progress,Low
T406627,1049,Leave Request,2024-07-16,2024-07-19,72,82,Completed,High
T856105,608,Exit Interview,2024-12-02,2024-12-02,24,21,In Progress,Low
T964468,1972,Leave Request,2024-05-16,2024-05-18,48,61,In Progress,Low
T919047,184,Leave Request,2024-08-26,2024-08-28,48,65,In Progress,Low
T841651,878,Onboarding,2024-11-19,2024-11-19,24,14,In Progress,High
T118315,590,Onboarding,2024-07-06,2024-07-06,24,23,In Progress,Low
T611528,590,Onboarding,2024-04-28,2024-04-30,48,55,Escalated,Low
T435633,1352,Exit Interview,2024-03-22,2024-03-24,72,66,In Progress,High
T965789,321,Onboarding,2024-11-24,2024-11-26,48,52,Completed,Low
T218416,1683,Policy Query,2024-02-11,2024-02-14,72,85,In Progress,Low
T545222,1746,Onboarding,2024-03-21,2024-03-23,72,63,In Progress,Medium
T190120,2040,Leave Request,2024-11-01,2024-11-03,48,48,In Progress,Low
T252039,1818,Onboarding,2024-06-13,2024-06-14,24,24,Completed,Low
T419327,148,Leave Request,2024-08-10,2024-08-10,24,18,In Progress,Low
T461199,869,Leave Request,2024-06-20,2024-06-21,24,42,In Progress,High
T469434,1778,Onboarding,2024-02-28,2024-03-02,72,81,Completed,Low
T111484,869,Exit Interview,2024-06-24,2024-06-26,48,52,In Progress,Low
T409443,1098,Exit Interview,2024-04-08,2024-04-10,48,62,In Progress,Medium
T666204,103,Exit Interview,2024-12-03,2024-12-04,24,34,Completed,High
T514230,1152,Policy Query,2024-08-05,2024-08-06,48,47,In Progress,Low
T558054,133,Exit Interview,2024-08-07,2024-08-08,48,41,Completed,Low
T411171,1858,Onboarding,2024-12-08,2024-12-08,24,22,In Progress,Low
T869947,1818,Policy Query,2024-07-14,2024-07-16,48,49,Completed,Medium
T269907,1987,Onboarding,2024-09-13,2024-09-15,48,61,In Progress,Low
T312304,1563,Exit Interview,2024-11-22,2024-11-25,72,79,Completed,High
T548935,829,Policy Query,2024-11-06,2024-11-08,48,65,In Progress,Medium
T845349,2040,Exit Interview,2024-04-20,2024-04-22,48,59,Escalated,High
T412098,1314,Exit Interview,2024-01-01,2024-01-02,48,43,In Progress,Medium
T111707,1152,Exit Interview,2024-05-05,2024-05-06,24,25,In Progress,Low
T358951,424,Policy Query,2024-02-20,2024-02-23,72,74,In Progress,High
T932937,1550,Exit Interview,2024-06-16,2024-06-19,72,73,Escalated,Low
T700000,1794,Leave Request,2024-03-04,2024-03-05,24,40,In Progress,Medium
T589430,910,Leave Request,2024-03-02,2024-03-02,24,17,Escalated,High
T499570,1164,Policy Query,2024-07-04,2024-07-06,72,65,Escalated,Low
T612606,321,Leave Request,2024-12-23,2024-12-25,48,54,In Progress,High
T607602,665,Policy Query,2024-01-26,2024-01-28,72,68,In Progress,High
T121542,103,Exit Interview,2024-02-20,2024-02-23,72,87,In Progress,Low
T841160,1499,Onboarding,2024-01-23,2024-01-25,48,48,Completed,Medium
T978500,1049,Onboarding,2024-11-01,2024-11-01,24,14,In Progress,High
T345922,1714,Policy Query,2024-12-14,2024-12-17,72,88,Escalated,Medium
T409538,1987,Leave Request,2024-03-24,2024-03-26,48,56,In Progress,Low
T451877,731,Policy Query,2024-08-26,2024-08-28,48,62,In Progress,Medium
T912923,103,Onboarding,2024-01-20,2024-01-23,72,79,In Progress,Low
T311511,1164,Leave Request,2024-10-18,2024-10-21,72,73,In Progress,Medium
T957998,1683,Onboarding,2024-06-02,2024-06-04,48,60,Completed,High
T998120,1314,Policy Query,2024-07-25,2024-07-26,24,31,In Progress,Low
T950138,734,Onboarding,2024-03-03,2024-03-06,72,72,In Progress,Medium
T302690,140,Onboarding,2024-03-19,2024-03-20,24,39,Escalated,Medium
T132072,148,Onboarding,2024-12-03,2024-12-03,24,19,Completed,High
T567738,1467,Onboarding,2024-12-15,2024-12-16,24,35,In Progress,High
T921616,1890,Onboarding,2024-11-07,2024-11-09,48,50,In Progress,Low
T979636,1419,Onboarding,2024-10-22,2024-10-24,48,54,In Progress,High
T537712,1289,Leave Request,2024-08-13,2024-08-14,24,33,Completed,Low
T191951,1049,Policy Query,2024-04-09,2024-04-10,24,27,In Progress,Low
T689188,133,Onboarding,2024-01-13,2024-01-14,24,30,In Progress,Medium
T864151,734,Exit Interview,2024-07-07,2024-07-08,48,42,Escalated,Low
T231897,1858,Policy Query,2024-03-26,2024-03-27,24,39,In Progress,Medium
T980702,133,Exit Interview,2024-05-22,2024-05-22,24,22,Completed,Medium
T320190,1550,Onboarding,2024-03-02,2024-03-04,48,62,Escalated,High
T770952,1973,Leave Request,2024-08-15,2024-08-17,48,51,Completed,Low
T845933,321,Policy Query,2024-10-05,2024-10-08,72,87,In Progress,Medium
T212610,608,Policy Query,2024-06-01,2024-06-02,24,38,Completed,Medium
T334964,566,Policy Query,2024-11-10,2024-11-10,24,21,In Progress,Medium
T779351,1563,Policy Query,2024-12-19,2024-12-20,24,35,Completed,Medium
T121163,878,Leave Request,2024-01-02,2024-01-05,72,78,In Progress,High
T649928,847,Exit Interview,2024-02-14,2024-02-15,24,35,Escalated,High
T403329,760,Policy Query,2024-11-04,2024-11-06,48,49,Escalated,Low
T509543,1805,Policy Query,2024-12-16,2024-12-18,48,52,Escalated,Medium
T508953,184,Onboarding,2024-07-03,2024-07-04,24,41,In Progress,Low
T208231,910,Onboarding,2024-01-28,2024-01-29,48,39,In Progress,Low
T789680,1467,Policy Query,2024-10-01,2024-10-03,48,50,In Progress,Low
T859785,608,Exit Interview,2024-10-27,2024-10-28,48,39,In Progress,High
T942818,847,Leave Request,2024-12-11,2024-12-12,48,40,Escalated,Low
T675962,1858,Leave Request,2024-10-05,2024-10-07,48,57,In Progress,Low
T279786,1973,Onboarding,2024-10-05,2024-10-07,72,63,In Progress,Medium
T833440,470,Onboarding,2024-08-07,2024-08-09,72,65,In Progress,Low
T545888,1207,Onboarding,2024-11-19,2024-11-21,48,50,In Progress,Low
T445114,1098,Onboarding,2024-04-13,2024-04-14,24,41,Completed,Medium
T505846,847,Policy Query,2024-01-17,2024-01-18,24,34,In Progress,High
T801036,1722,Policy Query,2024-07-15,2024-07-17,48,63,Completed,Low
T636944,1890,Leave Request,2024-07-04,2024-07-06,72,67,Escalated,Low
T145771,869,Policy Query,2024-04-04,2024-04-06,72,65,Completed,Low
T709322,1338,Onboarding,2024-10-22,2024-10-23,24,30,In Progress,High
T144397,1944,Exit Interview,2024-08-06,2024-08-09,72,78,Escalated,High
T187821,1499,Exit Interview,2024-04-24,2024-04-26,48,49,Completed,Low
T792213,1973,Leave Request,2024-04-10,2024-04-12,48,65,In Progress,Medium
T602814,103,Policy Query,2024-03-21,2024-03-22,48,47,In Progress,Low
T312552,1944,Onboarding,2024-09-21,2024-09-23,48,55,Completed,Medium
T656055,1314,Policy Query,2024-12-08,2024-12-08,24,15,In Progress,High
T978422,1746,Onboarding,2024-08-21,2024-08-24,72,88,In Progress,Medium
T963357,1818,Exit Interview,2024-09-08,2024-09-08,24,17,In Progress,Medium
T534933,829,Leave Request,2024-12-08,2024-12-10,72,69,In Progress,High
T723127,910,Onboarding,2024-02-17,2024-02-20,72,88,Escalated,Medium
T294850,1098,Policy Query,2024-07-23,2024-07-25,48,51,In Progress,Medium
T859266,608,Exit Interview,2024-10-26,2024-10-28,48,60,In Progress,Medium
T481987,1805,Onboarding,2024-07-15,2024-07-16,24,44,In Progress,Medium
T332522,644,Exit Interview,2024-02-10,2024-02-12,48,48,In Progress,Medium
T864304,1858,Exit Interview,2024-08-02,2024-08-04,48,63,In Progress,Medium
T247722,909,Policy Query,2024-06-28,2024-07-01,72,85,In Progress,Low
T795548,424,Exit Interview,2024-04-23,2024-04-24,24,39,Escalated,Low
T936671,1338,Onboarding,2024-11-17,2024-11-19,72,70,In Progress,Low
T853019,1818,Policy Query,2024-08-27,2024-08-27,24,19,In Progress,Low
T832388,665,Leave Request,2024-11-08,2024-11-09,48,38,In Progress,Medium
T850953,1408,Leave Request,2024-04-04,2024-04-07,72,91,In Progress,Medium
T481088,1408,Leave Request,2024-01-06,2024-01-06,24,15,In Progress,High
